Serial Number,Asset Tag,Is-Active
D25WN0T0J1GN,Z00006754,TRUE
D25WN0SUJ1GN,Z00006755,TRUE
D25WN0JFJ1GN,Z00006756,TRUE
D25WP05LJ1GN,Z00006757,TRUE
D25WN0FRJ1GN,Z00006758,TRUE
D25WN106J1GN,Z00006759,TRUE
D25WN0FSJ1GN,Z00006760,TRUE
D25WN0JLJ1GN,Z00006761,TRUE
D25TP0CJGG7V,Z00006279,TRUE
D25QF202FY14,Z00009133,TRUE
W882404J3BC,Z00003398,TRUE
C1MLGOYJDV31,Z00000059,TRUE
D25WW0SGJ1GQ,Z00006797,TRUE
D25WW0S1J1GQ,Z00006798,TRUE
D25WW0SMJ1GQ,Z00006799,TRUE
D25WW0RUJ1GQ,Z00006838,TRUE
D25WW0S4J1GQ,Z00006801,TRUE
D25WW0S0J1GQ,Z00006802,TRUE
D25WW0S6J1GQ,Z00006803,TRUE
D25WW0RSJ1GQ,Z00006804,TRUE
D25WW0RTJ1GQ,Z00006805,TRUE
D25WW0RWJ1GQ,Z00006806,TRUE
D25WW0SEJ1GQ,Z00006807,TRUE
D25WW0RZJ1GQ,Z00006808,TRUE
D25WW0SLJ1GQ,Z00006809,TRUE
D25WW0RXJ1GQ,Z00006810,TRUE
D25WW0RYJ1GQ,Z00006811,TRUE
D25WW0RVJ1GQ,Z00006812,TRUE
D25WW0SXJ1GQ,Z00006813,TRUE
D25WW188J1GQ,Z00006814,TRUE
D25WW0SDJ1GQ,Z00006815,TRUE
D25WW0SVJ1GQ,Z00006816,TRUE
D25WW0SKJ1GQ,Z00006817,TRUE
D25WW0SNJ1GQ,Z00006818,TRUE
D25WW0SCJ1GQ,Z00006819,TRUE
D25WW0S8J1GQ,Z00006820,TRUE
D25WW0SFJ1GQ,Z00006825,TRUE
D25WW0S9J1GQ,Z00006826,TRUE
D25WW0SSJ1GQ,Z00006827,TRUE
D25WW0SJJ1GQ,Z00006828,TRUE
D25WW0STJ1GQ,Z00006829,TRUE
D25WW0SRJ1GQ,Z00006830,TRUE
D25WW0SHJ1GQ,Z00006831,TRUE
D25WW0SPJ1GQ,Z00006832,TRUE
D25WW0SYJ1GQ,Z00006833,TRUE
D25WW0SBJ1GQ,Z00006834,TRUE
D25WW0SQJ1GQ,Z00006835,TRUE
D25WW0S5J1GQ,Z00006836,TRUE
D25WW0RRJ1GQ,Z00006837,TRUE
D25WW0S2J1GQ,Z00006839,TRUE
D25WW0SWJ1GQ,Z00006840,TRUE
D25WW0SAJ1GQ,Z00006843,TRUE
D25WX0D4J1GQ,Z00006842,TRUE
YM9460BRB9X,Z00003564,TRUE
C07HX089DJD2,Z00007492,TRUE
W84310V8QW3,Z00001491,TRUE
C02X404LJGH7,Z00006849,TRUE
C02X4051JGH7,Z00006845,TRUE
C02X4052JGH7,Z00006846,TRUE
C02X4050JGH7,Z00006847,TRUE
C02X4053JGH7,Z00006848,TRUE
D25X4172J1GN,Z00006850,TRUE
D25X416EJ1GN,Z00006851,TRUE
D25X416ZJ1GN,Z00006852,TRUE
D25X419DJ1GN,Z00006853,TRUE
D25X419DJ1GN,Z00006854,TRUE
D25X4170J1GN,Z00006855,TRUE
